"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","traitFlowers",0.221689643369248,0.101029901501767,2.1942973325117,8629.99968322584,0.0282406000830417
"fixed","traitPlant length",0.26713136010416,0.101029901501767,2.64408215917628,8629.99969289219,0.00820609580731125
"fixed","traitWidth longest leaf",0.523515521859204,0.101029901501767,5.18178790711824,8629.99969280475,2.24741438072222e-07
"fixed","precipitation_sum:traitLeaf number",-1.5375340773464,0.1177075987392,-13.0623179286246,8629.99971328853,1.2548558307924e-38
"fixed","precipitation_sum:traitLength longest leaf",-0.708951081821779,0.1177075987392,-6.02298483203769,8629.99974938372,1.78233404236645e-09
"fixed","precipitation_sum:traitPetiole longest leaf",-1.06188529001762,0.1177075987392,-9.02138265831419,8629.99967971333,2.25797813974557e-19
"fixed","precipitation_sum:traitSidebranch",-0.66439760995737,0.1177075987392,-5.64447509824281,8629.99977115369,1.70928707904367e-08
"fixed","precipitation_sum:traitSideshoots",-0.927826543334129,0.1177075987392,-7.88246938406992,8629.99979976486,3.60042352140384e-15
"fixed","precipitation_sum:traitStem width",-0.486084977587288,0.1177075987392,-4.12959726299649,8629.9997297031,3.66824433588827e-05
"fixed","precipitation_sum:traitWidth longest leaf",-1.18647664225982,0.117707598739199,-10.0798644689767,8629.99972513937,9.1780780845789e-24
"fixed","`temperature_2m_mean (°C)`:traitLeaf number",0.712977777556185,0.139580592939814,5.10800077961851,8629.99942318043,3.32551040047923e-07
"fixed","`temperature_2m_mean (°C)`:traitLength longest leaf",0.386151383079751,0.139580592939814,2.76651198384188,8629.99948855714,0.00567800778237001
"fixed","`temperature_2m_mean (°C)`:traitPetiole longest leaf",1.02986479789238,0.139580592939814,7.37828072084809,8629.99937369159,1.75203690174135e-13
"fixed","`temperature_2m_mean (°C)`:traitSidebranch",0.454157692627627,0.139580592939814,3.25373093108622,8629.99950471747,0.00114338453748122
"fixed","`temperature_2m_mean (°C)`:traitSideshoots",0.647518239653251,0.139580592939814,4.63902771879222,8629.99957525972,3.55206919198417e-06
"fixed","`temperature_2m_mean (°C)`:traitWidth longest leaf",1.16999292271975,0.139580592939814,8.38220341436896,8629.99946768097,6.01276192701868e-17
